Part Description,Supplier,Part # OEM,Machine,Location Shelf and Bin,Alternate part Number,Alternate Manufacturer,NOTES,
Insulating Bushing Poly,,FT-007-009,,Shelf B-4 Bin 2-6,,,
Merlin Gerin Multi9 5A Type D 277VAC,,C60N,,Shelf B-4 Bin 3-2,Square D MG17426,Eaton FAZ-B5/1-NA-SP,
Contact Kit,,3RT 1944-6A,,Shelf B-4 Bin 3-2,,,
Contacts,,3TY7460-0A,,Shelf B-4 Bin 3-2,,,
Emergency Stop,,3SB3-000-1HA20,,Shelf B-4 Bin 3-3,,,
Key Operated Switch,,3SB3-000-4MF11,,Shelf B-4 Bin 3-3,,,
?,,SAS-2961118,,Shelf B-4 Bin 3-4,,,MPAQ Only
Contact,,SAS-EL-001-736,,Shelf B-4 Bin 3-4,,,
Contact Block,,3SB3-400-0A,,Shelf B-4 Bin 3-5,,,
Relay Base,,PLC-BSC-24DC/21,,Shelf B-4 Bin 3-5,,,
Relay Base,,PLC-BSC-120UC-21,,Shelf B-4 Bin 3-5,,,
Solenoid Coil,,P2E-KV32C1,,Shelf B-4 Bin 3-6,,Parker,
AUX Contact Block,,3RH1921-1EA11,,Shelf B-4 Bin 3-6,,,
AUX Contact Block,,3RH1921-1EA02,,Shelf B-4 Bin 3-6,,,
?,,BSM-012-940,,Shelf B-4 Bin 4-1,,,
?,,BSM-005-119,,Shelf B-4 Bin 4-1,,,
?,,RHB IS0090,,Shelf B-4 Bin 4-1,,,For Robot
Regulator,,PN-000-090,,Shelf B-4 Bin 4-1,,,
?,,EL-000-067,,Shelf B-4 Bin 4-1,,,
MBK Pins,,NT-000-958,,Shelf B-4 Bin 4-2,,,
MBK Pins,,NT-000-717,,Shelf B-4 Bin 4-2,,,
?,,FT-020-120,,Shelf B-4 Bin 4-2,,,Bolts W/bushingspacers and nut
?,,FT-020-135,,Shelf B-4 Bin 4-2,,,Bolts W/bushingspacers and nut
?,,FT-020-136,,Shelf B-4 Bin 4-2,,,Bolts W/bushingspacers and nut
Nuts,,SAS-NT-000-706,,Shelf B-4 Bin 4-5,,,
Rail Caps,,na,,Shelf B-4 Bin 4-3,,,
Bushing,,FT-006-159,,Shelf B-4 Bin 4-3,,,
Gardener Extensions Spring,,na,,Shelf B-4 Bin 4-3,,,0.640X0.0800X4.00
Spacer NON Metallic,,FT-007-008,,Shelf B-4 Bin 4-4,,,
Metal Washer,,FT-007-016,,Shelf B-4 Bin 4-4,,,
MBK Springs,,ME-000-028,,Shelf B-4 Bin 4-4,,,2 sizes of springs in bin
Bushing,,FT-020-120,,Shelf B-4 Bin 4-5,,,
SM Spring,,ME-003-083,,Shelf B-4 Bin 4-5,,,
Element,,FRP-96-653,,Shelf B-4 Bin 4-5,,,
Indicator Light,,EL-002-994,,Shelf B-4 Bin 4-6,3SB3-244-6BA20,Siemens,
Indicator Light,,EL-002-995,,Shelf B-4 Bin 4-6,3SB3-244-6BA40,Siemens,
Cube Magnet,,ME-003-226,,Shelf B-4 Bin 5-2,,,MBK5
?,,BSM-006-765,,Shelf B-4 Bin 5-1,,,
Shims?,,BSM-009-542,,Shelf B-4 Bin 5-1,,,
Sensor,,LCN2-1820N-SRS4/63,,Shelf B-4 Bin 5-1,,,HTM Sensors
Slide,,BSM-012-878,,Shelf B-4 Bin 5-1,,,
?,,BSM-010-807,,Shelf B-4 Bin 5-2,,,
?,,SAS-GS28,,Shelf B-4 Bin 5-2,,,
?,,ME-003-048,,Shelf B-4 Bin 5-2,,,
?,,BSM-012-023,,Shelf B-4 Bin 5-2,,,
?,,PN-001-384,,Shelf B-4 Bin 5-3,,,
?,,ME-003-034,,Shelf B-4 Bin 5-3,,,
?,,NT-000-768,,Shelf B-4 Bin 5-3,,,
?,,BSM-012-874,,Shelf B-4 Bin 5-3,,,
Contactor,,EL-005-060,,Shelf B-4 Bin 5-3,3SU1400-1AA10-3CA0,Siemens,
Positioning Sensor,,EL-003-178,,Shelf B-4 Bin 5-3,MPS-064TSTPO(PN1045668),Sick,
?,,BSM-014-719,,Shelf B-4 Bin 5-3,,,
Hub Bolt,,BSM-007-390,,Shelf B-4 Bin 5-4,FHS100814-025M1,,M8X14 7991-10.9 Full THD
Deflector Rollers W/Washers,,BSM-013-317,,Shelf B-4 Bin 5-4,,,
Hub Bolt,,BSM-013-440,,Shelf B-4 Bin 5-4,,,
Bearing (6904-2RS),,SAS-ME-000-264,,Shelf B-4 Bin 5-4,6904-2RS – 6904-2RS-7CX,SpinCo – Shuster,
Bearing (608-2RS),,SAS-ME-002-698,,Shelf B-4 Bin 5-5,,,
Distance Sleeve,,BSM-002-710,,Shelf B-4 Bin 5-5,,,
Wire Guide Pulley,,BSM-002-753,,Shelf B-4 Bin 5-5,,,
Bearing (5620-RS),,ME-000-283,,Shelf B-4 Bin 5-5,,,
?,,BSM-007-880,,Shelf B-4 Bin 5-6,,,
Spring,,ME-003-535,,Shelf B-4 Bin 5-6,,,MBK Spring Brake parts
?,,BSM-007-591,,Shelf B-4 Bin 5-6,,,
?,,BSM-007-767,,Shelf B-4 Bin 5-6,,,
Distance Tube,,RSL-000-794,,Shelf B-4 Bin 6-1,,,
Wire Guide Pulley,,RSL-000-791,,Shelf B-4 Bin 6-1,,,
Bearing (LR5007-2RS),,LR5007,,Shelf B-4 Bin 6-2,,,
?,,BSM-012-554,,Shelf B-4 Bin 6-2,,,
?,,NT-007-399,,Shelf B-4 Bin 6-2,,,
?,,SAS-PN-001-736,,Shelf B-4 Bin 6-2,ADNGF-32-25-PA (J63WYJSKRW),Festo,
?,,BSM-005-211,,Shelf B-4 Bin 6-2,,,
?,,EL-002-636-01,,Shelf B-4 Bin 6-3,66248 (0976-PMC-101),Belden,
?,,BSM-012-793,,Shelf B-4 Bin 6-3,,,
Brake Pad,,BSM-007-404,,Shelf B-4 Bin 6-3,,,
Standard Base Cylinder,,FES-ESNU-16-50-P-A,,Shelf B-4 Bin 6-3,19265,Festo,
?,,ME-003-834,,Shelf B-4 Bin 6-4,,,
?,,ME-003-529,,Shelf B-4 Bin 6-4,,,
?,,BSM-006-773,,Shelf B-4 Bin 6-4,,,
?,,BSM-012-832,,Shelf B-4 Bin 6-4,,,
Potentiometer,,EL-001-549,,Shelf B-4 Bin 6-4,,,1 Potentiometer Parts
?,,ME-003-954,,Shelf B-4 Bin 6-5,GFM-283239-20,Igus,
?,,ME-002-679,,Shelf B-4 Bin 6-5,,,
Bus Terminating Plug,,El-004-557,,Shelf B-4 Bin 6-5,7000-14041-0000000,Murr Elektronik,
?,,SAS-PN-001-733,,Shelf B-4 Bin 6-5,,,
O Ring,,PN-000-736,,Shelf B-4 Bin 6-5,,,
Inline Filter/Dryer Disposable,,DFD-10,,Shelf B-4 Bin 6-5,,,
Snap ring,,NT-000-067,,Shelf B-4 Bin 6-6,,,
Snap ring,,NT-000-010,,Shelf B-4 Bin 6-6,,,
?,,PN-000-117,,Shelf B-4 Bin 6-6,,,
?,,PN-000-049,,Shelf B-4 Bin 6-6,,,
Pressure Gauge (160PSI),,GC230-0,,Shelf B-4 Bin 6-6,,,
O Ring,,HY-000-908,,Shelf B-4 Bin 7-1,,,
